Month,Xposition,YPosition,Type,Help Provided
108,28,37,0,0.900000 
108,5,26,2,0.100000 
108,-43,19,3,1.150000 
120,28,37,0,0.852201 
120,2,-33,0,0.890442 
120,-4,1,0,0.750000 
120,38,-3,2,0.100000 
120,-43,19,3,1.000000 
120,-2,-1,0,0.797600 
120,40,20,0,0.999442 
120,5,26,2,0.000000 
120,5,-5,3,1.150000 
132,-4,1,0,0.750000 
132,-12,-39,2,0.100000 
132,-2,-1,0,0.750000 
132,2,-33,0,0.750005 
132,5,26,2,0.000000 
132,30,17,3,1.150000 
132,-43,19,3,1.000000 
132,28,37,0,0.762128 
132,-9,-40,0,0.796437 
132,38,-3,2,0.000000 
132,5,-5,3,1.000000 
132,40,20,0,0.794979 
132,16,-22,0,0.760756 
132,-46,3,0,0.895385 
144,-9,41,0,0.998328 
144,-4,1,0,0.750000 
144,5,-5,3,1.000000 
144,15,4,3,1.150000 
144,10,20,2,0.100000 
144,2,-33,0,0.750000 
144,-43,19,3,1.000000 
144,28,37,0,0.750183 
144,-2,-1,0,0.750000 
144,40,20,0,0.750803 
144,-12,-39,2,0.000000 
144,16,-22,0,0.750000 
144,38,-3,2,0.000000 
144,-39,21,0,0.877145 
144,-46,3,0,0.753026 
144,0,5,0,0.760658 
144,3,-24,0,0.880154 
144,5,26,2,0.000000 
144,30,17,3,1.000000 
144,-9,-40,0,0.750005 
156,-5,-1,0,0.750000 
156,-9,41,0,0.757640 
156,5,26,2,0.000000 
156,-1,-21,2,0.100000 
156,40,20,0,0.750000 
156,-9,-40,0,0.750000 
156,15,4,3,1.000000 
156,2,-33,0,0.750000 
156,10,20,2,0.000000 
156,-46,3,0,0.750000 
156,28,37,0,0.750000 
156,-2,-1,0,0.750000 
156,-2,3,3,1.150000 
156,-39,21,0,0.750000 
156,38,-3,2,0.000000 
156,-43,19,3,1.000000 
156,3,-24,0,0.750000 
156,16,-22,0,0.750000 
156,9,6,0,0.887370 
156,0,5,0,0.750000 
156,-4,1,0,0.750000 
156,30,17,3,1.000000 
156,-12,-39,2,0.000000 
156,5,-5,3,1.000000 
156,-4,5,0,0.779490 
168,15,4,3,1.000000 
168,5,-5,3,1.000000 
168,10,20,2,0.000000 
168,-1,-21,2,0.000000 
168,9,6,0,0.750005 
168,-4,5,0,0.750000 
168,-2,3,3,1.000000 
168,29,-37,2,0.100000 
168,-5,-1,0,0.750000 
168,-43,19,3,1.000000 
168,16,-22,0,0.750000 
168,-1,-1,0,0.750000 
168,38,-3,2,0.000000 
168,-9,41,0,0.750000 
168,-46,3,0,0.750000 
168,30,17,3,1.000000 
168,-4,1,0,0.750000 
168,5,26,2,0.000000 
168,0,5,0,0.750000 
168,15,-31,3,1.150000 
168,28,37,0,0.750000 
168,3,-24,0,0.750000 
168,2,-33,0,0.750000 
168,-9,-40,0,0.750000 
168,-2,-1,0,0.750000 
168,-39,21,0,0.750000 
168,-12,-39,2,0.000000 
168,0,-21,0,0.781675 
168,40,20,0,0.750000 
168,8,27,0,0.897218 
168,0,-7,0,0.896002 
180,-43,19,3,1.000000 
180,-4,1,0,0.750000 
180,-12,-39,2,0.000000 
180,-2,3,3,1.000000 
180,16,-22,0,0.750000 
180,29,-37,2,0.000000 
180,-1,-1,0,0.750000 
180,24,-2,0,0.750000 
180,15,-31,3,1.000000 
180,-5,-1,0,0.750000 
180,-9,-40,0,0.750000 
180,0,-7,0,0.750000 
180,38,-3,2,0.000000 
180,5,26,2,0.000000 
180,15,4,3,1.000000 
180,8,27,0,0.752543 
180,-1,-21,2,0.000000 
180,5,-5,3,1.000000 
180,3,-24,0,0.750000 
180,-4,5,0,0.750000 
180,10,20,2,0.000000 
180,0,-21,0,0.750000 
180,28,37,0,0.750000 
180,-23,-27,0,0.897218 
180,-46,3,0,0.750000 
180,-6,-16,3,1.150000 
180,-39,21,0,0.750000 
180,-2,-1,0,0.750000 
180,30,17,3,1.000000 
180,-9,41,0,0.750000 
180,2,-33,0,0.750000 
180,40,20,0,0.750000 
180,0,5,0,0.750000 
180,-6,19,0,0.793530 
180,9,6,0,0.750000 
180,-42,-25,2,0.100000 
192,-4,-11,0,0.890442 
192,-5,-1,0,0.750000 
192,-1,-21,2,0.000000 
192,0,-21,0,0.750000 
192,-5,11,2,0.100000 
192,3,-24,0,0.750000 
192,10,20,2,0.000000 
192,5,26,2,0.000000 
192,-9,-40,0,0.750000 
192,-39,21,0,0.750000 
192,-42,-25,2,0.000000 
192,0,5,0,0.750000 
192,-2,29,0,0.791824 
192,-23,-27,0,0.751472 
192,30,17,3,1.000000 
192,-6,-16,3,1.000000 
192,-46,3,0,0.750000 
192,16,-22,0,0.750000 
192,-4,5,0,0.750000 
192,8,27,0,0.750071 
192,0,-7,0,0.750000 
192,-1,-17,3,1.150000 
192,2,-33,0,0.750000 
192,38,-3,2,0.000000 
192,29,-37,2,0.000000 
192,15,4,3,1.000000 
192,-1,-1,0,0.750000 
192,-2,-1,0,0.750000 
192,40,20,0,0.750000 
192,9,6,0,0.750000 
192,-2,6,0,0.750000 
192,24,-2,0,0.750000 
192,-43,19,3,1.000000 
192,-2,3,3,1.000000 
192,15,-31,3,1.000000 
192,-13,-26,0,0.994456 
192,-4,1,0,0.750000 
192,28,37,0,0.750000 
192,-6,19,0,0.750001 
192,-12,-39,2,0.000000 
192,5,-5,3,1.000000 
192,-9,41,0,0.750000 
204,15,-31,3,1.000000 
204,-46,3,0,0.750000 
204,-1,-21,2,0.000000 
204,-2,6,0,0.750000 
204,-2,3,3,1.000000 
204,-6,-16,3,1.000000 
204,-4,-11,0,0.754236 
204,-43,19,3,1.000000 
204,5,-5,3,1.000000 
204,29,-37,2,0.000000 
204,2,-33,0,0.750000 
204,-5,-1,0,0.750000 
204,0,5,0,0.750000 
204,-1,-28,3,1.150000 
204,-39,21,0,0.750000 
204,-4,1,0,0.750000 
204,-1,-1,0,0.750000 
204,9,6,0,0.750000 
204,0,-21,0,0.750000 
204,-6,19,0,0.750000 
204,38,-3,2,0.000000 
204,30,17,3,1.000000 
204,-1,-17,3,1.000000 
204,-23,-27,0,0.750442 
204,24,-2,0,0.750000 
204,16,-22,0,0.750000 
204,10,20,2,0.000000 
204,-30,-11,0,0.750000 
204,-9,-40,0,0.750000 
204,40,20,0,0.750000 
204,0,-7,0,0.750000 
204,15,4,3,1.000000 
204,-42,-25,2,0.000000 
204,-2,29,0,0.751466 
204,-13,-26,0,0.756631 
204,-9,41,0,0.750000 
204,-2,-1,0,0.750000 
204,-22,-1,0,0.783840 
204,-5,11,2,0.000000 
204,5,26,2,0.000000 
204,8,27,0,0.750001 
204,0,8,0,0.820836 
204,28,37,0,0.750000 
204,3,-24,0,0.750000 
204,-4,5,0,0.750000 
204,-12,-39,2,0.000000 
204,10,37,2,0.100000 
216,-5,11,2,0.000000 
216,28,37,0,0.750000 
216,15,-31,3,1.000000 
216,-2,3,3,1.000000 
216,24,-2,0,0.750000 
216,-22,-1,0,0.756049 
216,30,17,3,1.000000 
216,-5,-1,0,0.750000 
216,-46,3,0,0.750000 
216,-2,-1,0,0.750000 
216,40,20,0,0.750000 
216,-34,5,0,0.750000 
216,-1,-1,0,0.750000 
216,15,4,3,1.000000 
216,-8,-30,0,0.797600 
216,5,-5,3,1.000000 
216,10,20,2,0.000000 
216,-23,-27,0,0.750442 
216,-12,-39,2,0.000000 
216,-2,29,0,0.751195 
216,-39,21,0,0.750000 
216,-1,-17,3,1.000000 
216,-46,-3,0,0.895385 
216,-23,6,2,0.100000 
216,10,37,2,0.000000 
216,-9,41,0,0.750000 
216,-42,-25,2,0.000000 
216,2,-33,0,0.750000 
216,0,8,0,0.750546 
216,0,-21,0,0.750000 
216,8,27,0,0.750000 
216,15,-15,3,1.150000 
216,-1,-28,3,1.000000 
216,29,-37,2,0.000000 
216,-43,19,3,1.000000 
216,-13,-26,0,0.754952 
216,-4,-11,0,0.753587 
216,-2,6,0,0.750000 
216,0,-7,0,0.750000 
216,9,6,0,0.750000 
216,38,-3,2,0.000000 
216,-1,-21,2,0.000000 
216,-4,1,0,0.750000 
216,3,-24,0,0.750000 
216,-30,-11,0,0.750000 
216,-9,-2,0,0.970709 
216,-6,-16,3,1.000000 
216,-6,19,0,0.750000 
216,0,5,0,0.750000 
216,16,-22,0,0.750000 
216,-9,-40,0,0.750000 
216,5,26,2,0.000000 
216,-4,5,0,0.750000 
228,16,-22,0,0.750000 
228,7,16,2,0.100000 
228,0,-21,0,0.750000 
228,9,6,0,0.750000 
228,-13,-26,0,0.752265 
228,-4,-3,3,1.150000 
228,38,-3,2,0.000000 
228,5,26,2,0.000000 
228,10,20,2,0.000000 
228,5,-5,3,1.000000 
228,-8,-30,0,0.760658 
228,-6,19,0,0.750000 
228,-42,-25,2,0.000000 
228,-46,3,0,0.750000 
228,-9,-2,0,0.760053 
228,42,-3,0,0.954360 
228,-1,-17,3,1.000000 
228,13,-5,0,0.795074 
228,-30,-34,0,0.897218 
228,-9,41,0,0.750000 
228,-4,1,0,0.750000 
228,-5,-1,0,0.750000 
228,-1,-1,0,0.750000 
228,2,-33,0,0.750000 
228,-1,-21,2,0.000000 
228,-2,-1,0,0.750000 
228,-6,-16,3,1.000000 
228,-1,-28,3,1.000000 
228,29,-37,2,0.000000 
228,-2,3,3,1.000000 
228,-12,-39,2,0.000000 
