Month,Xposition,YPosition
361,5,-19 
361,-57,97 
361,-115,28 
361,-13,1 
361,-36,45 
361,-6,71 
361,168,58 
361,18,-9 
361,0,34 
361,-31,-30 
361,-146,-61 
361,1,96 
361,10,-161 
361,0,0 
361,-35,40 
361,-33,-56 
361,-17,33 
361,-5,24 
361,-1,0 
361,-10,-41 
361,40,-102 
361,56,-8 
361,-222,0 
361,-63,-9 
361,-19,79 
361,8,12 
361,50,26 
361,45,-14 
361,22,1 
361,3,0 
361,9,0 
361,48,129 
361,30,-28 
361,25,-127 
361,10,-54 
361,-4,76 
361,-58,-154 
361,2,0 
361,26,40 
361,-4,68 
361,-66,-167 
361,3,14 
361,-29,125 
361,148,33 
361,15,-18 
361,-5,-9 
361,-92,15 
361,12,-53 
361,-4,0 
361,-118,41 
361,-22,1 
361,61,-72 
361,80,-105 
361,180,-90 
361,1,0 
361,-19,-95 
361,-60,21 
361,6,-48 
361,145,-24 
361,-46,40 
361,-34,185 
361,-46,27 
361,199,50 
361,47,-2 
361,52,63 
361,95,111 
361,-120,44 
361,-96,-100 
361,-54,-8 
361,10,-151 
361,-43,30 
361,-25,136 
361,-223,91 
361,23,-90 
361,-123,82 
361,89,33 
361,-113,-150 
361,20,53 
361,-7,129 
361,4,-5 
361,101,-34 
361,130,64 
361,-25,-19 
361,57,83 
361,-26,-94 
361,169,29 
361,80,-129 
361,-33,105 
361,-169,-82 
361,47,18 
361,-3,1 
361,-3,9 
361,173,168 
361,-10,9 
361,-156,111 
361,-74,98 
361,65,115 
361,-22,-26 
361,-92,28 
361,-149,14 
361,-10,21 
361,119,-163 
361,-53,20 
361,30,-5 
361,24,1 
361,-52,-74 
361,-12,-27 
361,1,-13 
361,35,45 
361,102,-97 
361,-36,66 
361,-11,6 
361,-23,-3 
361,27,77 
361,49,-65 
361,-38,57 
361,-4,12 
361,38,-110 
361,-23,-5 
361,-126,178 
361,41,-9 
361,-9,137 
361,-26,214 
361,102,188 
361,51,78 
361,222,67 
361,-19,85 
361,10,-48 
361,-65,-1 
361,-2,3 
361,-19,11 
361,-12,44 
361,-69,-42 
361,-117,136 
361,-100,39 
361,0,-70 
361,-8,38 
361,26,-74 
361,-7,-5 
361,-105,45 
361,-9,39 
361,53,-31 
361,33,-13 
361,36,174 
361,-81,25 
361,-90,57 
361,-44,-77 
361,189,-69 
361,-19,-16 
361,-180,-124 
361,21,151 
361,-68,-42 
361,22,-22 
361,-133,215 
361,3,125 
361,-5,21 
361,-6,69 
361,81,-83 
361,110,-134 
361,40,11 
361,6,-52 
361,-66,-89 
361,22,-3 
361,42,-68 
361,-43,-67 
361,-35,-125 
361,35,0 
361,36,-20 
361,45,21 
361,-38,52 
361,-155,10 
361,9,-36 
361,-5,-84 
361,128,147 
361,49,-28 
361,-65,19 
361,18,5 
361,36,38 
361,28,103 
361,-2,-1 
361,-61,-9 
361,-37,-112 
361,-36,5 
361,36,-63 
361,9,112 
361,-71,-100 
361,-52,-95 
361,83,-70 
361,-27,62 
361,112,-44 
361,58,6 
361,-8,-12 
361,-91,-138 
361,-19,32 
361,99,-71 
361,171,-11 
361,-14,-237 
361,4,0 
361,-16,-43 
361,14,64 
361,214,79 
361,-83,-126 
361,-189,104 
361,-49,-40 
361,15,-2 
361,57,-174 
361,-117,81 
361,-8,10 
361,73,53 
361,35,-28 
361,112,-82 
361,-54,-110 
361,-64,-1 
361,66,-55 
361,-20,-16 
361,-77,46 
361,103,-117 
361,-78,-56 
361,2,-2 
361,25,-109 
361,-21,31 
361,-14,65 
361,-9,86 
361,23,218 
361,-71,86 
361,-54,6 
361,0,-9 
361,22,68 
361,150,-107 
361,-41,6 
361,-23,-21 
361,-49,29 
361,-4,28 
361,-28,-5 
361,48,-53 
361,-153,-91 
361,-40,57 
361,-48,-85 
361,-125,-64 
361,9,6 
361,15,29 
361,-7,-14 
361,-27,7 
361,-39,-18 
361,10,31 
361,-124,71 
361,35,5 
361,0,4 
361,27,-10 
361,-70,-26 
361,17,-5 
361,-168,-173 
361,11,-49 
361,170,30 
361,-90,-25 
361,-54,20 
361,-5,4 
361,-31,155 
361,38,63 
361,87,-105 
361,-44,-20 
361,21,38 
361,100,-65 
361,-82,-54 
361,-5,-5 
