"tick","Total Cars","Total Cyclists","Total Walkers","Total Pub Transport","Average Health","Average Cycle Ability","Average Safety Perception"
116.5,208,37,75,96,0.755522,0.504121,0.597776
117.5,210,35,81,90,0.755501,0.504121,0.597776
118.5,206,36,73,102,0.754879,0.504408,0.59718
119.5,213,40,75,89,0.754907,0.504408,0.59718
120.5,221,42,69,85,0.754855,0.504408,0.597179
121.5,211,39,70,97,0.754786,0.504408,0.597179
122.5,206,40,77,94,0.754811,0.504408,0.597178
123.5,202,42,73,100,0.754836,0.504408,0.597178
124.5,202,48,79,88,0.754995,0.504408,0.597177
125.5,212,40,64,102,0.754667,0.503495,0.597003
126.5,204,36,76,102,0.754627,0.503495,0.597003
127.5,195,43,77,103,0.754781,0.503495,0.597002
128.5,183,44,84,107,0.755095,0.503495,0.597002
129.5,187,41,82,108,0.755276,0.503495,0.597002
130.5,196,44,74,104,0.755397,0.503495,0.597001
131.5,199,46,72,101,0.755584,0.503495,0.597001
132.5,193,46,81,99,0.75583,0.503256,0.596642
133.5,197,51,69,102,0.756011,0.503256,0.596641
134.5,213,49,79,78,0.756149,0.503256,0.596642
135.5,206,50,82,81,0.756382,0.503256,0.596641
136.5,215,49,75,80,0.756474,0.503256,0.59664
137.5,197,50,90,82,0.756822,0.503256,0.596641
138.5,204,43,90,82,0.757012,0.503256,0.596641
139.5,201,47,91,81,0.757238,0.503533,0.596576
140.5,217,42,87,74,0.757294,0.503533,0.596575
141.5,210,50,70,90,0.757414,0.503533,0.596575
142.5,211,41,75,93,0.757449,0.503533,0.596575
143.5,207,35,83,95,0.757471,0.503533,0.596574
144.5,208,39,86,87,0.757569,0.503533,0.596575
145.5,205,41,79,95,0.757673,0.503533,0.596575
146.5,215,40,77,89,0.757394,0.502923,0.595659
147.5,209,45,80,87,0.757554,0.502923,0.595658
148.5,214,52,72,83,0.757707,0.502923,0.595657
149.5,215,54,70,82,0.757871,0.502923,0.595657
150.5,207,50,82,82,0.758118,0.502923,0.595657
151.5,202,51,83,85,0.758416,0.502923,0.595656
152.5,201,44,90,86,0.758687,0.502923,0.595656
153.5,209,37,92,84,0.758761,0.503021,0.595493
154.5,211,36,89,86,0.758815,0.503021,0.595492
155.5,218,43,78,83,0.75887,0.503021,0.595492
156.5,206,51,75,90,0.75908,0.503021,0.595491
157.5,192,59,68,103,0.759403,0.503021,0.595491
158.5,185,57,84,96,0.759816,0.503021,0.595491
159.5,217,55,65,85,0.759909,0.503021,0.595491
160.5,210,45,76,92,0.759944,0.50216,0.595042
161.5,209,41,75,98,0.759936,0.50216,0.595041
162.5,200,42,86,95,0.760043,0.50216,0.595041
163.5,201,52,73,97,0.760199,0.50216,0.59504
164.5,213,43,74,93,0.760199,0.50216,0.59504
165.5,217,39,67,100,0.760117,0.50216,0.595039
166.5,213,42,75,93,0.760192,0.50216,0.595039
167.5,204,45,85,90,0.760133,0.502141,0.594394
168.5,206,45,93,80,0.760382,0.502141,0.594393
169.5,197,54,92,81,0.760779,0.502141,0.594393
170.5,208,53,87,76,0.761057,0.502141,0.594392
171.5,218,50,74,82,0.761185,0.502141,0.594392
172.5,196,52,94,82,0.761611,0.502141,0.594391
173.5,203,47,85,89,0.761815,0.502141,0.594391
174.5,213,41,74,97,0.761999,0.502057,0.594731
175.5,211,36,80,98,0.76195,0.502057,0.594731
176.5,216,38,73,98,0.761858,0.502057,0.594731
177.5,220,45,63,97,0.761733,0.502057,0.594731
178.5,222,33,76,94,0.761612,0.502057,0.59473
179.5,222,46,77,80,0.761692,0.502057,0.59473
